id,x1,y1,x2,y2,score
0,893,336,922,360,1
0,897,341,943,373,1
0,0,89,25,117,1
1,578,199,691,269,1
1,455,361,480,378,1
1,622,373,656,395,1
1,447,377,469,398,1
1,621,360,642,378,1
1,605,367,627,385,1
1,443,356,467,374,1
1,446,343,472,366,1
1,642,379,662,396,1
2,453,318,487,340,1
2,460,337,491,358,1
2,1044,304,1075,330,1
2,1004,304,1031,335,1
2,542,355,580,375,1
2,117,93,146,137,1
2,1206,151,1239,196,1
2,1019,304,1040,328,1
2,774,348,796,367,1
2,329,349,358,377,1
3,938,397,970,425,1
3,635,356,698,384,1
3,820,398,846,423,1
3,1209,246,1253,324,1
3,645,375,713,392,1
3,581,465,611,481,1
3,1025,198,1143,263,1
3,73,480,94,509,1
3,335,458,363,498,1
4,1144,352,1177,391,1
4,1230,189,1266,241,1
4,1132,271,1187,305,1
4,433,468,460,486,1
4,255,459,273,484,1
4,246,445,265,471,1
4,440,405,481,427,1
4,440,420,480,439,1
5,581,397,646,433,1
5,473,423,510,446,1
5,484,433,518,461,1
5,465,437,498,461,1
5,601,410,632,430,1
6,1028,353,1081,378,1
6,1054,352,1074,372,1
6,1195,377,1214,395,1
6,1014,348,1045,374,1
6,1146,431,1169,463,1
6,1261,341,1279,360,1
6,1178,370,1210,413,1
6,1205,359,1233,379,1
6,1212,366,1260,398,1
6,1001,339,1024,363,1
6,999,352,1029,378,1
6,965,437,990,458,1
6,967,422,992,448,1
7,583,381,651,421,1
7,482,427,510,456,1
7,451,423,478,449,1
7,462,435,494,454,1
8,1115,214,1181,256,1
8,976,246,1006,289,1
8,162,387,205,408,1
8,1180,333,1237,375,1
8,1088,226,1194,283,1
8,200,446,224,464,1
8,215,447,234,466,1
8,1079,229,1112,258,1
8,0,418,16,449,1
8,373,478,396,498,1
8,228,447,250,468,1
8,8,401,28,429,1
8,1002,406,1030,432,1
9,912,311,943,337,1
9,171,227,219,269,1
9,102,336,127,368,1
9,529,289,553,318,1
9,734,351,780,375,1
9,729,341,755,364,1
9,940,302,969,324,1
10,644,335,688,365,1
10,726,362,749,379,1
10,289,414,323,435,1
10,513,340,548,361,1
10,517,350,561,379,1
10,730,368,757,395,1
10,538,339,562,361,1
10,870,341,901,365,1
10,868,355,895,379,1
10,635,353,675,377,1
10,954,360,981,378,1
10,511,350,536,369,1
11,532,330,553,351,1
11,576,351,620,369,1
11,563,340,605,356,1
12,499,339,526,358,1
12,486,338,512,356,1
12,998,311,1026,339,1
12,81,290,106,323,1
12,768,360,786,378,1
12,549,347,578,369,1
12,500,356,527,372,1
12,104,282,129,316,1
12,525,338,550,357,1
12,1153,341,1190,373,1
12,1202,293,1228,321,1
13,642,251,739,279,1
13,413,318,455,338,1
13,939,311,991,345,1
13,415,307,450,324,1
13,404,334,460,349,1
13,849,355,880,378,1
13,852,340,884,362,1
14,1066,229,1092,262,1
14,560,373,589,399,1
14,530,351,561,371,1
14,524,357,543,374,1
14,544,361,577,385,1
14,499,339,524,358,1
14,187,364,211,386,1
15,1035,367,1057,400,1
15,1039,429,1087,501,1
15,661,463,686,480,1
15,652,479,675,501,1
16,77,101,175,212,1
16,96,392,124,436,1
16,1157,351,1189,382,1
16,1083,381,1110,406,1
16,62,569,90,610,1
16,857,461,876,481,1
16,851,439,872,464,1
16,672,441,695,468,1
17,452,460,472,480,1
17,441,478,458,494,1
17,443,469,467,486,1
17,338,448,355,469,1
17,427,464,449,480,1
18,686,481,703,498,1
18,538,439,562,471,1
18,405,450,429,471,1
18,823,422,852,449,1
18,411,441,435,461,1
18,820,436,857,465,1
18,844,422,867,450,1
18,810,435,835,456,1
18,811,422,833,440,1
18,516,431,544,459,1
18,415,453,441,481,1
18,705,472,727,491,1
18,693,467,714,487,1
19,1155,182,1231,319,1
19,605,459,624,477,1
19,583,449,607,467,1
19,567,453,586,473,1
19,572,442,594,465,1
19,921,443,949,482,1
19,1115,94,1177,190,1
20,294,423,326,461,1
20,604,343,656,375,1
20,463,296,486,333,1
21,339,375,385,398,1
21,426,436,454,458,1
21,984,402,1012,431,1
21,3,307,23,339,1
22,340,387,388,439,1
22,331,461,354,480,1
22,309,463,326,480,1
23,577,364,682,419,1
23,388,378,454,413,1
23,466,374,511,408,1
23,481,389,528,428,1
23,486,401,507,420,1
24,1122,247,1189,286,1
24,178,391,230,409,1
24,381,460,398,484,1
24,389,414,412,434,1
24,395,405,419,427,1
24,399,445,416,472,1
24,390,455,409,475,1
24,107,371,132,400,1
24,1042,260,1069,300,1
24,390,432,413,454,1
24,398,420,418,445,1
24,394,469,416,490,1
25,349,462,371,479,1
25,869,427,892,460,1
25,852,417,877,446,1
25,515,395,545,426,1
26,1052,290,1124,360,1
26,396,41,564,120,1
26,334,62,440,133,1
26,751,411,776,445,1
27,593,406,659,426,1
27,588,416,648,439,1
27,614,401,635,422,1
27,569,418,596,441,1
27,585,400,625,420,1
28,809,374,849,420,1
28,901,408,922,439,1
28,619,436,656,457,1
28,880,370,904,400,1
28,888,376,919,410,1
28,637,422,664,445,1
28,483,249,514,309,1
28,994,441,1015,460,1
28,1006,440,1032,468,1
30,799,364,835,413,1
30,610,278,715,316,1
30,1162,208,1190,253,1
30,817,384,849,418,1
30,1218,259,1245,298,1
31,1156,182,1234,318,1
31,844,459,871,501,1
31,1125,98,1210,218,1
31,604,461,624,480,1
31,596,446,622,468,1
31,1215,393,1242,439,1
32,959,46,996,90,1
33,482,478,498,495,1
33,481,452,501,478,1
33,544,451,569,470,1
33,1130,391,1154,426,1
33,1119,393,1140,424,1
33,554,449,586,465,1
33,561,459,590,477,1
33,993,377,1047,403,1
33,304,463,326,480,1
33,472,465,489,491,1
33,1139,413,1157,437,1
33,1117,414,1138,439,1
34,622,298,767,369,1
34,876,398,904,434,1
34,884,412,918,445,1
34,687,311,744,354,1
35,609,389,671,423,1
35,371,295,414,374,1
35,710,452,740,474,1
36,794,1,974,80,1
36,171,0,337,113,1
36,17,79,150,172,1
36,622,4,721,60,1
36,317,0,417,72,1
36,514,452,540,472,1
36,502,458,522,476,1
36,513,463,534,480,1
37,604,392,674,426,1
37,712,449,747,477,1
37,372,295,413,373,1
38,420,389,454,443,1
38,572,409,619,436,1
38,429,431,453,456,1
40,619,396,681,432,1
40,372,296,415,373,1
40,712,444,737,470,1
41,602,398,671,432,1
41,368,298,419,360,1
41,709,454,739,476,1
41,708,434,740,466,1
41,649,465,675,491,1
42,644,287,779,343,1
42,899,396,929,432,1
42,893,410,917,441,1
43,416,370,450,438,1
43,599,416,632,440,1
43,410,425,436,453,1
43,939,384,967,412,1
44,350,326,381,367,1
