id,x1,y1,x2,y2,score
0,893,329,952,359,1
0,898,344,941,370,1
0,177,202,208,235,1
0,440,246,462,288,1
0,542,328,559,363,1
1,577,210,702,272,1
1,620,360,646,378,1
1,642,364,659,382,1
1,635,375,654,391,1
1,448,361,466,382,1
2,538,338,569,357,1
2,461,320,488,348,1
2,995,307,1010,336,1
2,126,87,151,143,1
2,341,330,357,353,1
2,1005,297,1028,327,1
2,30,261,51,294,1
2,605,372,623,389,1
2,10,260,28,298,1
2,1052,303,1075,323,1
2,1042,313,1066,334,1
2,1095,285,1113,312,1
2,780,337,798,361,1
2,541,349,567,364,1
2,492,320,520,343,1
2,494,334,515,353,1
2,222,348,240,389,1
2,204,295,230,320,1
2,1145,321,1185,347,1
2,332,337,350,375,1
2,671,346,689,367,1
2,674,357,694,375,1
2,685,343,702,363,1
2,475,323,500,341,1
2,1101,336,1135,364,1
2,329,362,347,385,1
3,1205,232,1253,333,1
3,603,462,619,480,1
3,694,359,728,378,1
3,690,463,707,479,1
3,818,399,839,419,1
3,791,372,808,403,1
3,586,457,604,476,1
3,338,455,355,481,1
3,656,359,689,377,1
3,674,358,710,375,1
3,808,387,835,408,1
3,944,398,971,427,1
3,349,441,368,471,1
3,865,184,918,230,1
3,832,397,850,418,1
4,423,421,470,436,1
4,1232,193,1273,265,1
4,1042,290,1069,329,1
4,1140,255,1189,296,1
4,668,455,686,475,1
4,1142,358,1171,391,1
4,1111,268,1135,301,1
4,436,463,456,484,1
4,422,407,481,424,1
4,1250,226,1279,328,1
4,256,420,272,441,1
4,256,435,275,464,1
4,246,468,267,489,1
4,240,422,261,452,1
4,249,449,267,476,1
5,597,394,631,428,1
5,486,438,508,465,1
5,490,452,510,479,1
6,1149,437,1183,486,1
6,1042,348,1062,366,1
6,709,477,725,498,1
6,1051,341,1077,365,1
6,1187,362,1212,394,1
6,994,346,1016,372,1
6,1233,361,1257,385,1
6,1215,361,1237,393,1
6,1023,346,1045,377,1
6,54,419,78,450,1
7,595,387,654,421,1
7,393,392,426,415,1
7,495,438,514,470,1
7,440,425,467,451,1
7,637,464,658,481,1
7,482,430,506,461,1
8,1107,218,1187,261,1
8,977,238,999,289,1
8,1074,205,1111,264,1
8,1174,346,1219,379,1
8,364,461,385,478,1
8,1195,318,1238,372,1
8,423,432,440,457,1
8,199,449,218,465,1
8,174,387,201,404,1
8,165,397,211,418,1
8,219,458,243,476,1
8,227,443,250,463,1
8,218,448,239,466,1
8,374,464,393,484,1
8,250,453,271,475,1
8,998,424,1019,443,1
9,719,340,776,369,1
9,912,304,930,335,1
9,745,355,769,378,1
9,153,217,208,269,1
9,731,353,758,372,1
9,528,283,553,309,1
9,107,350,128,378,1
9,929,307,957,334,1
9,957,359,978,378,1
9,105,335,123,361,1
9,921,313,937,337,1
10,640,335,688,370,1
10,877,318,903,351,1
10,887,332,911,369,1
10,809,426,841,457,1
10,954,343,970,360,1
10,874,337,896,368,1
10,518,344,545,363,1
10,234,289,255,326,1
10,730,366,755,384,1
10,729,378,753,393,1
11,793,337,819,382,1
11,562,353,587,370,1
11,575,339,614,356,1
11,809,347,829,378,1
11,570,344,601,368,1
12,768,342,788,366,1
12,499,341,521,358,1
12,768,358,784,374,1
12,553,348,575,370,1
12,550,340,574,358,1
12,1011,320,1027,336,1
12,67,326,87,355,1
12,56,318,75,343,1
12,521,342,537,358,1
12,92,276,113,312,1
12,110,278,126,305,1
12,491,347,520,369,1
12,488,341,504,359,1
12,778,346,795,372,1
12,1033,327,1060,344,1
12,1041,337,1067,357,1
12,69,290,89,324,1
12,87,308,108,342,1
12,101,340,122,364,1
12,109,351,129,377,1
13,933,265,979,352,1
13,660,235,732,283,1
13,372,304,403,326,1
13,369,316,410,337,1
13,412,316,458,340,1
13,308,312,332,333,1
13,317,298,351,325,1
14,1072,215,1111,278,1
14,595,401,614,418,1
14,521,337,563,358,1
14,557,358,586,378,1
14,553,371,571,387,1
14,745,347,767,365,1
14,728,343,748,362,1
14,555,382,575,400,1
14,579,379,599,398,1
14,566,379,589,395,1
14,742,363,763,384,1
14,183,364,206,390,1
14,13,274,35,299,1
14,566,368,592,386,1
14,581,364,599,385,1
15,562,484,580,500,1
15,1033,373,1073,426,1
15,662,463,682,482,1
15,646,468,673,492,1
15,660,476,676,498,1
15,1034,364,1056,396,1
15,1053,362,1074,392,1
15,355,241,376,285,1
15,547,465,569,489,1
15,651,484,667,501,1
16,89,87,171,218,1
16,676,440,697,461,1
16,1152,346,1187,376,1
16,1084,387,1104,420,1
16,859,437,876,460,1
16,863,424,883,449,1
16,91,383,137,437,1
17,342,424,359,447,1
17,458,463,475,481,1
17,496,455,515,472,1
17,442,466,460,489,1
17,635,464,659,489,1
17,321,431,345,458,1
17,441,452,459,475,1
17,501,462,520,479,1
17,618,469,636,488,1
17,613,478,629,499,1
18,402,463,426,482,1
18,412,446,433,475,1
18,532,424,555,449,1
18,824,425,856,459,1
18,529,439,548,462,1
18,539,436,559,464,1
18,692,470,710,489,1
18,780,461,796,479,1
19,235,338,254,380,1
19,606,458,624,476,1
19,557,448,577,468,1
19,1149,163,1225,303,1
19,221,345,242,380,1
20,293,437,319,462,1
20,452,293,469,339,1
20,614,344,659,376,1
20,461,298,477,347,1
20,1137,386,1156,417,1
21,983,397,1005,435,1
21,975,413,996,440,1
21,336,370,386,390,1
21,426,431,446,454,1
21,441,421,460,443,1
21,353,379,382,396,1
21,593,388,618,418,1
22,312,312,385,369,1
22,331,394,366,431,1
22,337,429,371,464,1
22,338,446,358,476,1
22,324,456,351,490,1
22,567,485,586,502,1
23,400,378,451,420,1
23,576,372,677,413,1
23,468,372,519,418,1
23,690,474,707,495,1
23,493,376,529,402,1
23,652,461,669,478,1
24,1040,254,1068,305,1
24,1132,246,1180,288,1
24,401,412,418,436,1
24,386,409,406,438,1
24,104,365,121,396,1
24,184,389,218,404,1
24,180,398,218,415,1
24,399,444,417,463,1
24,0,414,19,444,1
24,1056,250,1075,296,1
24,326,481,343,500,1
24,381,467,398,489,1
24,392,463,408,482,1
24,1236,303,1260,375,1
25,870,410,888,448,1
25,263,463,281,481,1
25,276,461,293,479,1
25,534,396,575,424,1
25,1180,370,1196,400,1
25,616,460,635,483,1
25,624,465,641,495,1
25,608,475,627,499,1
25,439,379,461,413,1
25,269,480,289,500,1
25,340,457,359,482,1
25,858,435,882,466,1
25,350,460,371,481,1
25,133,420,155,439,1
25,149,420,167,438,1
26,317,37,561,142,1
26,1046,280,1114,356,1
26,746,399,775,442,1
26,180,427,205,452,1
27,556,414,588,439,1
27,561,406,614,427,1
27,604,411,638,432,1
27,116,454,138,492,1
28,808,360,850,421,1
28,496,266,519,312,1
28,623,424,650,440,1
28,641,431,664,453,1
28,628,433,653,449,1
28,895,400,912,430,1
28,907,400,928,432,1
28,886,374,907,399,1
28,872,368,896,397,1
28,236,395,265,448,1
29,249,378,275,404,1
29,1014,165,1043,221,1
29,363,452,389,482,1
29,362,441,382,461,1
30,623,281,709,319,1
30,805,378,841,419,1
30,1165,207,1194,265,1
30,1152,187,1181,256,1
31,235,339,254,382,1
31,560,453,577,471,1
31,218,345,238,381,1
31,1156,195,1228,316,1
31,1106,85,1220,303,1
31,557,443,582,460,1
32,444,362,461,379,1
32,386,379,411,399,1
32,132,332,152,355,1
32,117,334,140,351,1
33,1000,369,1039,401,1
33,473,460,489,481,1
33,563,440,588,459,1
33,606,453,639,470,1
33,482,460,500,485,1
33,465,483,482,500,1
33,546,440,572,458,1
33,957,383,990,414,1
33,605,465,628,480,1
33,579,452,596,468,1
33,1132,392,1149,421,1
33,623,462,648,479,1
33,547,451,569,472,1
33,421,458,438,477,1
33,1117,404,1136,430,1
33,1130,419,1146,446,1
34,638,282,766,360,1
34,878,408,911,444,1
34,879,356,910,406,1
35,369,258,417,350,1
35,610,393,676,430,1
35,724,441,742,468,1
35,715,453,735,477,1
35,370,440,394,472,1
35,393,379,415,421,1
36,170,0,403,117,1
36,622,2,768,80,1
36,777,0,964,97,1
36,442,473,458,503,1
36,19,46,160,188,1
36,444,462,461,483,1
36,512,451,531,468,1
36,516,458,536,478,1
37,370,260,414,344,1
37,616,393,668,423,1
37,728,461,747,479,1
37,710,457,736,481,1
37,718,445,743,471,1
38,430,379,451,428,1
38,117,385,138,426,1
38,567,417,594,437,1
38,421,395,441,430,1
38,428,417,448,442,1
38,436,411,456,458,1
38,436,451,457,478,1
39,481,441,502,471,1
39,568,431,605,450,1
39,486,459,501,486,1
39,485,482,508,510,1
39,188,414,211,452,1
39,498,435,514,464,1
39,464,442,483,460,1
40,370,261,414,350,1
40,617,391,673,424,1
40,721,441,742,470,1
40,708,449,733,473,1
40,342,522,364,545,1
40,386,376,415,419,1
41,370,269,404,347,1
41,622,394,674,424,1
41,380,331,412,397,1
41,715,445,736,470,1
41,376,319,403,361,1
41,392,389,417,429,1
42,649,280,777,351,1
42,891,395,932,447,1
43,591,401,643,428,1
43,406,345,434,415,1
43,416,394,443,436,1
43,438,396,456,435,1
43,405,430,430,458,1
43,679,448,700,469,1
43,667,440,690,463,1
44,346,327,377,370,1
44,583,296,635,317,1
44,703,296,727,324,1
44,496,363,528,383,1
44,606,368,625,387,1
44,612,379,632,399,1
44,584,315,626,333,1
44,691,304,716,334,1
44,626,286,644,305,1
44,618,359,640,383,1
44,435,382,455,399,1
44,484,370,511,389,1
45,283,274,309,319,1
45,231,291,269,327,1
45,840,274,869,322,1
45,273,294,301,337,1
45,625,367,643,392,1
45,216,280,249,323,1
46,608,393,663,424,1
46,393,307,420,372,1
46,403,362,437,428,1
46,392,356,426,391,1
46,603,408,646,438,1
46,707,441,727,461,1
46,530,462,547,479,1
46,412,339,434,379,1
46,687,448,710,473,1
47,538,218,602,250,1
47,219,272,279,319,1
47,326,262,348,285,1
47,141,296,173,321,1
47,740,292,780,364,1
47,176,271,202,297,1
48,637,341,686,363,1
48,583,369,629,392,1
48,582,358,641,380,1
48,638,361,687,380,1
48,582,344,632,365,1
48,149,382,176,403,1
48,248,398,276,417,1
48,238,379,274,400,1
48,150,366,176,388,1
49,635,351,686,369,1
49,581,358,631,380,1
49,142,338,165,359,1
49,580,374,636,395,1
49,631,363,675,386,1
49,576,348,633,367,1
49,150,319,168,341,1
49,237,392,275,412,1
50,639,359,688,378,1
50,634,345,688,362,1
50,581,358,631,379,1
50,580,375,632,398,1
50,586,350,639,367,1
50,242,386,276,406,1
50,133,338,154,358,1
50,143,330,165,349,1
51,626,359,678,378,1
51,629,350,687,367,1
51,586,360,635,379,1
51,579,375,632,397,1
51,648,340,682,360,1
51,579,344,629,364,1
51,152,387,178,408,1
51,237,395,273,415,1
51,241,379,277,401,1
51,142,382,166,404,1
52,258,435,275,465,1
52,1260,239,1277,277,1
52,918,400,942,437,1
53,500,300,598,337,1
53,539,462,572,481,1
53,415,276,440,332,1
53,284,286,311,336,1
53,531,448,575,469,1
53,172,453,197,490,1
53,327,465,345,482,1
53,492,462,527,483,1
53,291,478,321,500,1
53,292,467,315,487,1
53,333,471,357,490,1
53,321,474,346,494,1
53,400,279,422,326,1
53,484,448,522,474,1
54,1092,133,1159,252,1
54,62,305,115,330,1
54,147,369,167,401,1
54,312,391,335,433,1
54,1122,305,1159,366,1
54,10,267,28,304,1
54,344,403,371,426,1
55,608,439,624,459,1
55,931,237,952,289,1
55,916,238,935,277,1
55,660,438,679,457,1
55,635,428,674,445,1
55,35,171,112,229,1
55,730,439,752,460,1
55,616,427,644,451,1
55,611,420,633,441,1
55,746,431,766,456,1
55,919,254,942,297,1
55,41,396,60,432,1
56,95,380,126,444,1
56,112,316,140,386,1
56,898,442,926,461,1
56,222,451,244,473,1
56,903,459,931,478,1
56,244,464,273,480,1
56,238,448,263,468,1
56,79,379,107,450,1
56,351,483,370,507,1
56,356,495,373,516,1
56,345,498,364,520,1
57,440,332,458,374,1
57,680,356,736,378,1
57,232,420,249,451,1
57,553,335,574,367,1
57,678,345,737,360,1
57,1069,405,1093,434,1
57,615,326,643,361,1
57,530,335,548,370,1
57,536,325,563,364,1
57,1057,398,1081,435,1
57,228,390,247,415,1
58,76,362,101,412,1
58,573,457,609,478,1
58,567,443,597,463,1
59,475,381,493,408,1
59,282,480,300,506,1
59,472,394,499,423,1
59,290,473,307,498,1
59,823,456,845,485,1
59,392,482,412,502,1
59,204,403,230,454,1
59,381,495,402,511,1
60,1190,226,1252,284,1
60,1109,262,1133,301,1
60,440,440,461,460,1
