id,x1,y1,x2,y2,score
0,889,335,934,361,1
0,905,321,949,355,1
0,462,261,488,297,1
1,581,203,708,271,1
1,488,384,505,400,1
1,621,366,650,385,1
2,456,319,488,353,1
2,119,89,145,147,1
2,1147,331,1183,354,1
2,1143,319,1183,339,1
2,606,374,622,392,1
2,854,273,870,298,1
2,1048,314,1077,332,1
2,1004,300,1022,327,1
2,1260,368,1279,400,1
2,789,342,804,369,1
2,1043,299,1068,321,1
3,546,466,563,483,1
3,150,482,172,510,1
3,1199,229,1246,340,1
3,681,357,714,373,1
4,434,421,462,438,1
4,1226,188,1266,268,1
4,1148,259,1183,291,1
4,319,410,337,431,1
4,666,434,684,463,1
4,628,471,644,487,1
4,1038,290,1055,324,1
4,1046,284,1067,329,1
4,1101,265,1124,311,1
4,1116,271,1135,311,1
4,1147,359,1170,390,1
5,587,393,644,422,1
5,483,431,510,485,1
5,411,396,436,418,1
5,401,395,424,413,1
6,1160,312,1181,349,1
6,1042,351,1074,375,1
6,1170,311,1197,354,1
6,707,478,723,500,1
6,1236,366,1258,390,1
6,1049,341,1076,363,1
7,594,389,655,421,1
7,490,435,514,483,1
7,397,394,426,412,1
8,1123,221,1184,266,1
8,1086,214,1114,260,1
8,1170,342,1212,378,1
8,170,389,201,407,1
8,979,240,1003,285,1
8,988,256,1010,296,1
8,1074,229,1095,272,1
8,422,430,437,455,1
8,999,422,1016,440,1
9,168,235,220,274,1
9,157,219,200,259,1
9,725,352,773,374,1
9,913,305,929,335,1
9,126,178,146,220,1
9,541,275,559,318,1
9,933,303,965,326,1
9,946,313,969,333,1
10,634,335,686,362,1
10,871,356,891,380,1
10,802,431,832,482,1
11,417,330,452,352,1
11,560,350,586,368,1
12,974,305,990,331,1
12,498,354,523,374,1
12,497,342,522,362,1
12,60,292,77,335,1
12,69,285,89,326,1
12,258,302,276,331,1
12,221,159,242,208,1
13,652,239,754,297,1
13,940,264,989,362,1
13,409,317,442,336,1
13,359,317,387,337,1
14,1108,222,1150,249,1
14,747,341,763,363,1
14,1070,219,1091,262,1
14,1022,241,1046,277,1
14,1076,255,1102,305,1
14,524,338,554,353,1
14,503,325,521,341,1
15,889,399,927,445,1
15,1093,368,1115,410,1
15,1076,365,1104,406,1
15,798,441,818,466,1
15,806,454,827,479,1
15,343,419,375,446,1
15,337,432,383,458,1
15,1131,433,1151,468,1
15,1120,430,1139,462,1
16,82,78,193,221,1
16,1155,346,1185,369,1
16,400,435,416,452,1
17,330,427,356,457,1
17,319,435,343,459,1
17,458,461,478,482,1
17,444,465,461,484,1
18,686,470,704,487,1
18,414,456,434,483,1
18,405,446,428,473,1
18,834,415,850,446,1
18,844,415,861,445,1
18,809,430,826,446,1
19,1131,103,1228,320,1
19,163,360,215,383,1
19,955,158,970,187,1
19,162,378,219,399,1
20,596,334,655,361,1
20,293,425,321,455,1
20,602,347,649,375,1
20,560,306,577,348,1
20,460,293,479,333,1
20,1137,384,1155,421,1
20,1137,343,1157,388,1
20,278,432,304,456,1
21,982,402,1007,441,1
21,341,375,386,395,1
21,1156,337,1176,377,1
21,1142,348,1160,377,1
21,432,436,455,457,1
21,422,425,443,443,1
22,308,319,396,388,1
22,331,399,375,482,1
22,596,482,615,499,1
23,476,380,536,421,1
23,593,369,670,405,1
23,392,380,467,423,1
24,1129,249,1181,286,1
24,1040,252,1069,314,1
24,996,344,1047,382,1
24,72,369,88,391,1
24,112,370,130,399,1
24,176,398,214,418,1
24,182,385,218,405,1
24,215,454,235,472,1
25,445,374,461,402,1
25,872,414,890,451,1
25,441,388,456,417,1
25,531,399,569,425,1
25,353,461,371,481,1
26,1038,282,1107,339,1
26,329,29,562,138,1
27,562,411,598,435,1
27,600,411,644,436,1
28,807,358,849,428,1
28,487,247,519,300,1
28,904,399,924,428,1
28,620,431,650,449,1
30,618,293,702,326,1
30,799,373,846,417,1
30,1146,189,1194,275,1
30,1163,282,1200,347,1
31,1129,88,1231,314,1
31,171,363,219,385,1
31,955,158,971,186,1
31,234,341,251,373,1
32,452,362,472,377,1
33,1002,365,1035,396,1
33,951,381,987,411,1
33,1133,392,1150,422,1
33,149,460,166,479,1
33,1122,392,1140,423,1
34,641,298,756,357,1
34,877,377,911,413,1
34,876,400,910,443,1
34,1244,357,1267,399,1
34,1259,357,1278,393,1
35,364,265,404,351,1
35,618,391,668,419,1
35,722,445,745,470,1
36,162,0,406,125,1
36,721,0,974,111,1
36,625,3,797,90,1
36,30,52,144,184,1
36,444,462,460,494,1
37,371,263,401,361,1
37,612,394,668,424,1
37,1078,286,1108,347,1
37,399,337,426,394,1
37,723,447,747,479,1
37,712,452,734,477,1
37,712,442,730,462,1
38,567,409,615,434,1
38,552,454,585,471,1
38,430,399,452,441,1
39,482,443,498,462,1
40,617,388,671,422,1
40,364,267,404,354,1
41,615,389,669,422,1
41,373,269,412,344,1
41,398,332,421,391,1
41,724,450,748,476,1
42,642,285,784,354,1
42,909,395,935,444,1
42,907,363,932,395,1
43,581,402,646,434,1
43,64,354,86,404,1
