id,x1,y1,x2,y2,score
0,898,328,948,363,1
1,579,202,709,269,1
1,624,361,650,378,1
2,792,338,807,364,1
2,454,319,488,345,1
2,13,273,38,311,1
2,999,300,1016,332,1
2,117,79,144,141,1
2,783,341,798,367,1
2,1135,309,1180,336,1
2,1041,315,1068,333,1
3,1207,235,1254,339,1
3,73,471,99,507,1
3,663,360,697,379,1
4,319,408,338,438,1
4,1228,184,1266,259,1
4,1040,283,1064,321,1
4,1149,354,1178,385,1
4,421,462,451,485,1
4,1114,274,1133,303,1
4,361,413,377,441,1
4,1140,364,1160,392,1
4,433,421,475,441,1
5,593,396,635,426,1
5,494,430,516,466,1
6,1172,313,1195,355,1
6,1035,345,1058,364,1
6,1039,351,1075,375,1
6,694,475,710,493,1
6,703,470,721,489,1
7,593,387,644,421,1
7,486,439,506,472,1
8,1110,215,1191,267,1
8,1076,211,1098,267,1
8,972,249,994,294,1
8,1183,323,1245,371,1
8,163,396,198,411,1
8,1087,207,1121,270,1
8,379,464,397,488,1
8,210,445,233,462,1
8,213,459,232,475,1
9,725,346,770,372,1
9,169,224,219,270,1
9,911,304,931,332,1
10,639,336,681,365,1
10,520,354,546,377,1
10,510,342,547,363,1
10,819,439,848,465,1
10,805,438,832,463,1
12,998,318,1022,338,1
12,551,340,578,356,1
13,658,241,752,292,1
13,939,270,985,365,1
13,406,313,457,339,1
13,538,361,557,380,1
14,519,338,554,355,1
14,1055,233,1079,272,1
15,1033,359,1066,412,1
15,1076,377,1106,419,1
16,95,96,173,217,1
17,628,467,645,487,1
17,457,461,474,480,1
18,694,481,713,499,1
18,416,454,440,476,1
18,411,444,429,466,1
18,405,455,423,476,1
19,567,461,588,478,1
19,580,461,598,478,1
19,565,440,584,457,1
19,605,445,621,466,1
19,1151,162,1225,305,1
20,459,286,481,339,1
20,294,429,322,459,1
20,592,335,645,378,1
20,563,309,584,341,1
21,991,408,1012,434,1
21,977,401,996,431,1
22,339,394,377,440,1
22,52,436,89,483,1
22,335,444,358,471,1
23,395,381,450,426,1
23,586,362,686,410,1
23,467,376,534,419,1
24,1119,241,1197,279,1
24,1039,248,1061,301,1
24,1052,253,1075,296,1
24,182,401,217,418,1
24,145,361,165,384,1
24,384,413,401,436,1
24,391,400,407,424,1
24,396,417,416,440,1
24,142,378,174,403,1
25,872,419,891,450,1
25,1170,368,1189,397,1
26,337,39,567,130,1
26,1038,287,1117,353,1
27,560,412,597,435,1
27,602,410,633,436,1
28,803,376,841,424,1
30,806,374,846,412,1
30,628,291,707,321,1
30,1161,203,1196,265,1
31,566,462,588,479,1
31,1160,181,1236,306,1
33,953,381,980,418,1
33,999,368,1039,405,1
33,482,461,499,480,1
33,559,442,589,459,1
33,486,470,502,491,1
34,644,298,766,359,1
34,876,411,907,441,1
34,872,352,917,412,1
35,620,380,673,424,1
35,378,265,409,335,1
36,149,0,419,114,1
36,19,66,153,175,1
36,799,0,963,115,1
36,641,15,745,92,1
37,616,396,666,432,1
37,378,265,408,332,1
37,710,458,730,478,1
37,717,445,747,472,1
38,430,379,452,440,1
38,570,406,612,435,1
39,482,440,501,467,1
39,564,421,587,440,1
40,607,389,668,427,1
40,380,274,413,350,1
40,381,379,412,418,1
41,375,268,411,343,1
41,615,393,668,424,1
41,212,560,322,677,1
41,713,454,743,481,1
41,710,442,732,467,1
42,640,288,785,340,1
42,892,355,927,390,1
42,899,398,928,437,1
43,410,350,440,423,1
43,592,404,638,431,1
44,695,292,726,319,1
44,354,327,395,371,1
44,704,306,730,329,1
44,580,296,636,326,1
44,500,367,526,386,1
44,185,331,217,355,1
44,600,292,627,314,1
45,222,288,272,324,1
45,285,279,309,329,1
45,847,288,876,328,1
46,397,302,422,375,1
46,597,400,657,434,1
47,528,216,605,252,1
47,180,263,200,302,1
47,218,267,257,310,1
48,580,359,633,380,1
48,642,351,684,373,1
48,634,340,677,363,1
49,635,340,685,362,1
49,138,334,161,359,1
49,580,363,632,383,1
50,618,360,679,379,1
50,584,366,635,386,1
50,639,346,685,369,1
50,138,335,160,360,1
50,602,342,667,361,1
51,592,361,625,382,1
51,630,348,679,366,1
51,631,360,681,378,1
53,414,272,436,322,1
53,166,440,209,493,1
53,289,286,310,331,1
53,163,453,185,480,1
53,507,301,584,330,1
53,324,461,357,479,1
53,536,464,557,482,1
54,1100,165,1159,247,1
54,317,392,338,426,1
54,67,299,113,332,1
54,1126,307,1160,362,1
54,134,371,155,422,1
54,145,367,165,411,1
55,643,422,674,438,1
55,651,429,683,450,1
55,645,440,668,457,1
55,930,254,949,294,1
56,97,306,132,385,1
56,96,386,120,431,1
56,114,315,145,365,1
57,549,330,571,360,1
57,523,336,542,363,1
57,225,418,250,452,1
57,677,349,733,372,1
57,438,336,461,373,1
57,619,328,646,359,1
57,231,391,251,419,1
57,216,381,236,416,1
57,1069,402,1094,432,1
58,78,372,104,417,1
59,399,379,420,409,1
59,479,389,499,423,1
59,465,383,485,418,1
59,280,480,303,504,1
60,1191,232,1254,280,1
60,1098,259,1138,301,1
61,562,423,602,460,1
61,437,428,480,455,1
61,497,430,534,457,1
63,656,237,759,296,1
65,477,409,500,440,1
65,747,478,768,503,1
67,1202,242,1229,289,1
67,1210,270,1234,313,1
68,850,350,865,371,1
69,1008,414,1044,446,1
69,689,468,715,495,1
69,936,404,963,439,1
70,75,270,97,320,1
70,971,358,1002,388,1
70,972,377,997,397,1
70,973,418,992,444,1
70,44,282,67,326,1
71,408,461,464,502,1
71,333,449,366,481,1
72,546,442,570,459,1
72,559,441,587,457,1
72,527,440,543,458,1
72,416,461,437,480,1
73,995,323,1012,347,1
73,756,157,941,250,1
74,1047,249,1071,312,1
76,206,48,346,122,1
76,464,307,517,335,1
76,479,300,513,319,1
76,770,322,788,345,1
77,463,279,486,317,1
77,209,253,229,295,1
77,199,256,218,290,1
77,334,298,356,328,1
78,135,300,192,359,1
78,470,452,508,471,1
78,472,463,515,481,1
79,358,334,377,352,1
79,668,303,695,342,1
79,318,265,337,293,1
81,412,461,478,500,1
81,331,458,372,487,1
84,413,462,472,503,1
84,328,455,362,484,1
85,414,459,479,500,1
85,326,456,362,486,1
85,211,455,240,484,1
87,523,439,541,458,1
88,541,420,570,450,1
88,268,386,311,423,1
88,538,407,580,436,1
89,776,359,819,390,1
89,706,442,742,462,1
89,668,347,686,376,1
90,419,460,471,498,1
90,335,454,376,493,1
90,279,458,312,490,1
91,414,461,477,501,1
91,330,457,370,483,1
92,601,359,663,385,1
92,480,328,497,359,1
92,469,335,486,377,1
92,964,391,993,439,1
93,412,463,471,502,1
93,328,459,370,484,1
94,938,252,965,316,1
95,414,461,479,499,1
95,329,457,367,496,1
95,230,450,267,485,1
96,408,461,480,507,1
96,323,459,371,487,1
98,419,461,478,499,1
98,330,443,376,482,1
99,573,385,634,406,1
99,1219,377,1245,408,1
99,477,359,498,390,1
